# data.Category3.csv
# year   category   num_of_events_for_A   num_of_events_for_B
"1";"N";"69";"31";"30"
"20";"N";"80";"20";"15"
"40";"N";"85";"15";"9"
"60";"N";"90";"10";"2"
"80";"N";"89";"11";"2"
"100";"N";"90";"10";"1"

